Variable,Count,Mean,Std,Min,P5,P25,Median_P50,P75,P95,Max
Temperature,17077.0,22.570398797110443,4.263850747132038,11.0,15.3999996185303,19.7000007629395,22.2999992370605,25.2000007629395,30.0,37.2999992370605
Humidity,17077.0,73.69211217227192,12.328380428458471,7.30000019073486,49.7000007629395,67.5,75.8000030517578,83.0,89.8000030517578,98.8000030517578
Observation_Duration_Min,17077.0,10.100544592141476,1.8042265280948009,10.0,10.0,10.0,10.0,10.0,10.0,70.0
