Common_Name,Scientific_Name,AOU_Code,Total_Observations,Forest_Observations,Grassland_Observations,Plots_Recorded,Parks_Recorded,PIF_Watchlist,Regional_Stewardship,Habitat_Preference
Brown Thrasher,Toxostoma rufum,BRTH,23,7,16,19,5,False,True,Both Habitats
Horned Lark,Eremophila alpestris,HOLA,23,1,22,14,2,False,False,Both Habitats
Unidentified Swallow,Hirundinidae,UNSW,22,0,22,5,2,False,False,Grassland Only
Swainson's Thrush,Catharus ustulatus,SWTH,21,20,1,19,6,False,False,Both Habitats
Yellow Warbler,Setophaga petechia,YEWA,19,13,6,18,7,False,False,Both Habitats
Killdeer,Charadrius vociferus,KILL,19,1,18,12,4,False,False,Both Habitats
Orchard Oriole,Icterus spurius,OROR,18,3,15,16,5,False,False,Both Habitats
Great Blue Heron,Ardea herodias,GBHE,17,5,12,11,3,False,False,Both Habitats
House Sparrow,Passer domesticus,HOSP,16,7,9,7,4,False,False,Both Habitats
Wild Turkey,Meleagris gallopavo,WITU,15,13,2,14,8,False,False,Both Habitats
Blue Grosbeak,Guiraca caerulea,BLGR,15,0,15,13,3,False,True,Grassland Only
Barred Owl,Strix varia,BADO,13,11,2,11,5,False,False,Both Habitats
White-eyed Vireo,Vireo griseus,WEVI,13,12,1,11,5,False,False,Both Habitats
Veery,Catharus fuscescens,VEER,11,9,2,8,3,False,False,Both Habitats
Black-throated Blue Warbler,Setophaga caerulescens,BTBW,9,9,0,8,4,False,False,Forest Only
Yellow-breasted Chat,Icteria virens,YBCH,9,4,5,9,5,False,False,Both Habitats
Red-tailed Hawk,Buteo jamaicensis,RTHA,8,2,6,8,3,False,False,Both Habitats
American Kestrel,Falco sparverius,AMKE,8,0,8,7,3,False,False,Grassland Only
Double-crested Cormorant,Phalacrocorax auritus,DCCO,7,7,0,5,2,False,False,Forest Only
Cerulean Warbler,Setophaga cerulea,CERW,7,7,0,7,3,True,False,Forest Only
Osprey,Pandion haliaetus,OSPR,7,7,0,6,3,False,False,Forest Only
Purple Martin,Progne subis,PUMA,6,0,6,5,2,False,False,Grassland Only
Cape May Warbler,Setophaga tigrina,CMWA,6,5,1,5,2,False,False,Both Habitats
Black Vulture,Coragyps atratus,BLVU,5,1,4,4,3,False,False,Both Habitats
Bay-breasted Warbler,Setophaga castanea,BBWA,5,4,1,5,3,False,False,Both Habitats
Bald Eagle,Haliaeetus leucocephalus,BAEA,5,0,5,5,2,False,False,Grassland Only
Belted Kingfisher,Ceryle alcyon,BEKI,4,3,1,4,2,False,True,Both Habitats
Mallard,Anas platyrhynchos,MALL,4,4,0,2,1,False,False,Forest Only
Summer Tanager,Piranga rubra,SUTA,4,3,1,4,3,False,False,Both Habitats
Wood Duck,Aix sponsa,WODU,4,3,1,3,2,False,False,Both Habitats
Black-throated Green Warbler,Setophaga virens,BTNW,4,3,1,4,2,False,False,Both Habitats
Magnolia Warbler,Setophaga magnolia,MAWA,3,2,1,3,3,False,False,Both Habitats
Ruby-throated Hummingbird,Archilochus colubris,RTHU,3,1,2,3,2,False,False,Both Habitats
Yellow-rumped Warbler,Setophaga coronata,YRWA,3,3,0,2,1,False,False,Forest Only
Yellow-throated Warbler,Setophaga dominica,YTWA,3,3,0,3,1,False,True,Forest Only
Northern Waterthrush,Parkesia noveboracensis,NOWA,3,2,1,3,3,False,False,Both Habitats
Unidentified Flycatcher,Tyrannidae,UNFL,2,1,1,2,2,False,False,Both Habitats
Vesper Sparrow,Pooecetes gramineus,VESP,2,0,2,2,1,False,False,Grassland Only
Cooper's Hawk,Accipiter cooperii,COHA,2,0,2,2,2,False,False,Grassland Only
Dark-eyed Junco,Junco hyemalis,DEJU,2,2,0,2,1,False,False,Forest Only
Black-capped Chickadee,Poecile atricapillus,BCCH,2,2,0,2,1,False,False,Forest Only
Green Heron,Butorides virescens,GRHE,2,2,0,1,1,False,False,Forest Only
Willow Flycatcher,Empidonax traillii,WIFL,2,0,2,2,2,True,False,Grassland Only
Kentucky Warbler,Oporornis formosus,KEWA,2,1,1,2,2,True,True,Both Habitats
Swamp Sparrow,Melospiza georgiana,SWSP,2,1,1,2,2,False,False,Both Habitats
Unidentified Woodpecker,Picadae,UNWO,2,2,0,2,2,False,False,Forest Only
Chestnut-sided Warbler,Setophaga pensylvanica,CSWA,1,0,1,1,1,False,False,Grassland Only
Chinese Pond-Heron,Ardeola bacchus,CHPH,1,0,1,1,1,False,False,Grassland Only
Blue-winged Warbler,Vermivora cyanoptera,BWWA,1,1,0,1,1,True,False,Forest Only
Least Flycatcher,Empidonax minimus,LEFL,1,0,1,1,1,False,False,Grassland Only
Red-headed Woodpecker,Melanerpes erythrocephalus,RHWO,1,1,0,1,1,True,False,Forest Only
Peregrine Falcon,Falco peregrinus,PEFA,1,1,0,1,1,False,False,Forest Only
Nashville Warbler,Oreothlypis ruficapilla,NAWA,1,1,0,1,1,False,False,Forest Only
Northwestern Crow,Corvus caurinus,NOCR,1,0,1,1,1,False,False,Grassland Only
Unidentified Warbler,Parulidae,UNWA,1,0,1,1,1,False,False,Grassland Only
Tennessee Warbler,Oreothlypis peregrina,TEWA,1,1,0,1,1,False,False,Forest Only
Savannah Sparrow,Passerculus sandwichensis,SASP,1,0,1,1,1,False,False,Grassland Only
White-throated Sparrow,Zonotrichia albicollis,WTSP,1,0,1,1,1,False,False,Grassland Only
