Wind,Observations
Light air movement (1-3 mph) smoke drifts,8511
Calm (< 1 mph) smoke rises vertically,4417
Light breeze (4-7 mph) wind felt on face,3737
"Gentle breeze (8-12 mph), leaves in motion",412
