Sky,Observations,Mean_Temp,Mean_Humidity
Partly Cloudy,7145,23.056039213817215,73.07580123151241
Clear or Few Clouds,5809,22.806403884093104,72.5921845110215
Cloudy/Overcast,3097,21.638521120553637,76.71281881612619
Fog,647,20.244976788068296,75.76429662453889
Mist/Drizzle,379,21.38232195408803,73.94854921527148
