,Temperature,Humidity,Observation_Duration_Min,Month,Observation_Hour
Temperature,1.0,-0.35334909441506734,-0.051708463467800114,0.29082313361940193,0.42223719088794803
Humidity,-0.35334909441506734,1.0,0.021455805342098615,0.1742208583262354,-0.2902775122155323
Observation_Duration_Min,-0.051708463467800114,0.021455805342098615,1.0,-0.014376327395150426,-0.025172521350634743
Month,0.29082313361940193,0.1742208583262354,-0.014376327395150426,1.0,-0.07139594812689981
Observation_Hour,0.42223719088794803,-0.2902775122155323,-0.025172521350634743,-0.07139594812689981,1.0
