Conservation_Priority,Habitat,Observations,Unique_Species
High Priority (Watchlist & Stewardship),Forest,329,4
High Priority (Watchlist & Stewardship),Grassland,38,3
PIF Watchlist Only,Forest,9,3
PIF Watchlist Only,Grassland,2,1
Regional Stewardship Only,Forest,2116,16
Regional Stewardship Only,Grassland,1502,14
Standard / Secure,Forest,6092,85
Standard / Secure,Grassland,6989,89
